pop,lon,lat,date,year,month,day,tasmin_mean,tasmax_mean,pr_mean
pop1,-66.351746,46.01555,2090-04-26,2090,4,26,276.7396,286.05728,5.3132506e-05
pop1,-66.351746,46.01555,2090-04-27,2090,4,27,276.67188,288.13022,4.3692522e-05
pop1,-66.351746,46.01555,2090-04-28,2090,4,28,276.45312,288.91147,6.640541e-06
pop1,-66.351746,46.01555,2090-04-29,2090,4,29,277.23438,287.06772,4.9942057e-05
pop1,-66.351746,46.01555,2090-04-30,2090,4,30,277.1875,286.73438,4.6934645e-05
pop1,-66.351746,46.01555,2090-05-01,2090,5,1,276.54688,288.83853,1.2965854e-05
pop1,-66.351746,46.01555,2090-05-02,2090,5,2,278.99478,289.55728,4.3586053e-05
pop1,-66.351746,46.01555,2090-05-03,2090,5,3,279.58853,290.9479,9.315491e-05
pop1,-66.351746,46.01555,2090-05-04,2090,5,4,279.25522,290.9479,5.8866175e-05
pop1,-66.351746,46.01555,2090-05-05,2090,5,5,278.69272,287.6875,5.0782623e-05
pop1,-66.351746,46.01555,2090-05-06,2090,5,6,278.92188,286.8229,4.1061012e-05
pop1,-66.351746,46.01555,2090-05-07,2090,5,7,276.81772,286.85938,1.919167e-05
pop1,-66.351746,46.01555,2090-05-08,2090,5,8,277.50522,286.5104,3.3928965e-05
pop1,-66.351746,46.01555,2090-05-09,2090,5,9,276.90625,286.22397,1.49911675e-05
pop1,-66.351746,46.01555,2090-05-10,2090,5,10,277.625,289.5104,2.9274275e-05
pop1,-66.351746,46.01555,2090-05-11,2090,5,11,280.34375,290.83334,5.662766e-05
pop1,-66.351746,46.01555,2090-05-12,2090,5,12,280.32812,289.78647,3.478296e-05
pop1,-66.351746,46.01555,2090-05-13,2090,5,13,280.5521,289.07812,6.9541435e-05
pop1,-66.351746,46.01555,2090-05-14,2090,5,14,279.14584,290.69272,1.0324064e-05
pop1,-66.351746,46.01555,2090-05-15,2090,5,15,281.01562,293.30728,3.0139447e-05
pop1,-66.351746,46.01555,2090-05-16,2090,5,16,282.13022,293.10938,4.5643497e-05
pop1,-66.351746,46.01555,2090-05-17,2090,5,17,280.875,291.03647,4.525996e-05
pop1,-66.351746,46.01555,2090-05-18,2090,5,18,279.64062,291.85938,1.0916626e-05
pop1,-66.351746,46.01555,2090-05-19,2090,5,19,280.5,291.52603,4.2938114e-05
pop1,-66.351746,46.01555,2090-05-20,2090,5,20,281.14062,292.23438,4.1711774e-05
pop1,-66.351746,46.01555,2090-05-21,2090,5,21,281.05728,292.25,5.0483086e-05
pop1,-66.351746,46.01555,2090-05-22,2090,5,22,281.34375,292.64062,4.7061203e-05
pop1,-66.351746,46.01555,2090-05-23,2090,5,23,282.4479,294.25522,4.4559605e-05
pop1,-66.351746,46.01555,2090-05-24,2090,5,24,282.59375,293.9375,6.1414765e-05
pop1,-66.351746,46.01555,2090-05-25,2090,5,25,282.65103,292.89062,6.8307396e-05
pop1,-66.351746,46.01555,2090-05-26,2090,5,26,283.1354,293.32812,5.888475e-05
pop1,-66.351746,46.01555,2090-05-27,2090,5,27,282.91147,293.52084,4.0485178e-05
pop1,-66.351746,46.01555,2090-05-28,2090,5,28,283.02603,295.36978,1.8948676e-05
pop1,-66.351746,46.01555,2090-05-29,2090,5,29,285.57812,294.52603,8.2591374e-05
pop1,-66.351746,46.01555,2090-05-30,2090,5,30,283.67188,294.16666,7.823934e-05
pop1,-66.351746,46.01555,2090-05-31,2090,5,31,283.58524,295.13068,5.8193986e-05
pop1,-66.351746,46.01555,2090-06-01,2090,6,1,284.34897,295.68228,5.003264e-05
pop1,-66.351746,46.01555,2090-06-02,2090,6,2,284.01562,296.79166,7.4750533e-06
pop1,-66.351746,46.01555,2090-06-03,2090,6,3,285.96353,297.50522,6.8118497e-06
pop1,-66.351746,46.01555,2090-06-04,2090,6,4,285.54688,298.22916,6.150436e-06
pop1,-66.351746,46.01555,2090-06-05,2090,6,5,285.74478,296.97916,3.8079103e-05
pop1,-66.351746,46.01555,2090-06-06,2090,6,6,284.91666,296.4271,2.4988329e-05
pop1,-66.351746,46.01555,2090-06-07,2090,6,7,285.6875,298.22397,3.0272708e-05
pop1,-66.351746,46.01555,2090-06-08,2090,6,8,286.27084,298.03125,2.7319313e-05
pop1,-66.351746,46.01555,2090-06-09,2090,6,9,285.7604,297.16666,4.747983e-05
pop1,-66.351746,46.01555,2090-06-10,2090,6,10,286.34375,296.4896,7.8479534e-05
pop1,-66.351746,46.01555,2090-06-11,2090,6,11,286.0729,297.45312,4.923815e-05
pop1,-66.351746,46.01555,2090-06-12,2090,6,12,286.53647,297.10416,2.7998802e-05
pop1,-66.351746,46.01555,2090-06-13,2090,6,13,286.02084,296.4896,6.1442915e-05
pop1,-66.351746,46.01555,2090-06-14,2090,6,14,286.08334,298.6771,2.6685775e-06
pop1,-66.351746,46.01555,2090-06-15,2090,6,15,285.92188,297.68228,6.265665e-05
pop1,-66.351746,46.01555,2090-06-16,2090,6,16,287.1979,298.32812,2.2694447e-05
pop1,-66.351746,46.01555,2090-06-17,2090,6,17,286.60416,297.76562,9.482308e-05
pop1,-66.351746,46.01555,2090-06-18,2090,6,18,286.31772,298.46353,3.9707462e-05
pop1,-66.351746,46.01555,2090-06-19,2090,6,19,288.1979,298.95312,1.8689445e-05
pop1,-66.351746,46.01555,2090-06-20,2090,6,20,288.6771,298.77084,9.5873265e-06
pop1,-66.351746,46.01555,2090-06-21,2090,6,21,287.1875,297.46875,1.7963162e-05
pop1,-66.351746,46.01555,2090-06-22,2090,6,22,286.5729,297.375,2.5264882e-05
pop1,-66.351746,46.01555,2090-06-23,2090,6,23,286.88022,299.59375,1.11824e-05
pop1,-66.351746,46.01555,2090-06-24,2090,6,24,287.73438,299.66666,1.3116202e-05
pop1,-66.351746,46.01555,2090-06-25,2090,6,25,288.46353,299.4896,5.609017e-05
pop1,-66.351746,46.01555,2090-06-26,2090,6,26,289.60938,299.98438,4.8851914e-05
pop1,-66.351746,46.01555,2090-06-27,2090,6,27,290.51562,301.58334,0.000101467966
pop1,-66.351746,46.01555,2090-06-28,2090,6,28,290.67188,300.5104,7.387734e-05
pop1,-66.351746,46.01555,2090-06-29,2090,6,29,289.83334,299.73438,4.126437e-05
pop1,-66.351746,46.01555,2090-06-30,2090,6,30,290.15103,301.0521,8.013488e-06
pop1,-66.351746,46.01555,2090-07-01,2090,7,1,289.83853,300.58334,3.4884648e-05
pop1,-66.351746,46.01555,2090-07-02,2090,7,2,289.84897,300.66666,8.4996456e-05
pop1,-66.351746,46.01555,2090-07-03,2090,7,3,289.14062,300.66666,3.195281e-05
pop1,-66.351746,46.01555,2090-07-04,2090,7,4,290.35938,299.8229,4.623747e-05
pop1,-66.351746,46.01555,2090-07-05,2090,7,5,289.17188,299.43228,2.0261597e-05
pop1,-66.351746,46.01555,2090-07-06,2090,7,6,289.76562,300.21875,2.2577864e-05
pop1,-66.351746,46.01555,2090-07-07,2090,7,7,290.22916,300.75,2.2988012e-05
pop1,-66.351746,46.01555,2090-07-08,2090,7,8,290.0521,300.72397,5.7133624e-05
pop1,-66.351746,46.01555,2090-07-09,2090,7,9,290.05728,300.76562,3.8298487e-05
pop1,-66.351746,46.01555,2090-07-10,2090,7,10,290.82812,300.0,9.330041e-05
pop1,-66.351746,46.01555,2090-07-11,2090,7,11,289.9479,300.23438,2.6413161e-05
pop1,-66.351746,46.01555,2090-07-12,2090,7,12,290.65103,300.4271,5.776291e-05
pop1,-66.351746,46.01555,2090-07-13,2090,7,13,290.4479,301.55728,2.9119416e-05
pop1,-66.351746,46.01555,2090-07-14,2090,7,14,291.41666,300.77603,0.00011317723
pop1,-66.351746,46.01555,2090-07-15,2090,7,15,290.57812,302.0729,3.4054236e-05
pop1,-66.351746,46.01555,2090-07-16,2090,7,16,291.07812,301.59375,8.01043e-05
pop1,-66.351746,46.01555,2090-07-17,2090,7,17,290.9896,301.45834,4.31353e-05
pop1,-66.351746,46.01555,2090-07-18,2090,7,18,291.08334,301.44272,2.3485749e-05
pop1,-66.351746,46.01555,2090-07-19,2090,7,19,291.38022,302.1354,7.58411e-05
pop1,-66.351746,46.01555,2090-07-20,2090,7,20,291.20834,303.75,8.105013e-06
pop1,-66.351746,46.01555,2090-07-21,2090,7,21,293.23438,304.52603,1.4335184e-05
pop1,-66.351746,46.01555,2090-07-22,2090,7,22,293.0625,303.42188,4.9851984e-05
pop1,-66.351746,46.01555,2090-07-23,2090,7,23,292.04688,301.49478,7.076431e-05
pop1,-66.351746,46.01555,2090-07-24,2090,7,24,290.71875,301.09375,7.560155e-05
pop1,-66.351746,46.01555,2090-07-25,2090,7,25,292.15625,302.21875,5.5221244e-05
pop1,-66.351746,46.01555,2090-07-26,2090,7,26,291.90103,302.52084,5.564038e-05
pop1,-66.351746,46.01555,2090-07-27,2090,7,27,292.6354,303.1354,7.98583e-06
pop1,-66.351746,46.01555,2090-07-28,2090,7,28,292.15103,302.75522,2.1811005e-05
pop1,-66.351746,46.01555,2090-07-29,2090,7,29,292.96875,302.5625,3.631468e-05
pop1,-66.351746,46.01555,2090-07-30,2090,7,30,292.625,301.375,4.04051e-05
pop1,-66.351746,46.01555,2090-07-31,2090,7,31,291.79544,301.08524,7.6861375e-05
pop1,-66.351746,46.01555,2090-08-01,2090,8,1,291.9271,301.57812,7.060254e-05
pop1,-66.351746,46.01555,2090-08-02,2090,8,2,291.89584,302.31772,6.921591e-05
pop1,-66.351746,46.01555,2090-08-03,2090,8,3,291.85416,301.82812,1.4655452e-05
pop1,-66.351746,46.01555,2090-08-04,2090,8,4,292.15103,302.50522,1.0734941e-05
pop1,-66.351746,46.01555,2090-08-05,2090,8,5,292.22916,302.06772,3.895943e-05
pop1,-66.351746,46.01555,2090-08-06,2090,8,6,291.92188,301.84375,8.676891e-05
pop1,-66.351746,46.01555,2090-08-07,2090,8,7,292.1979,301.70834,3.543759e-05
pop1,-66.351746,46.01555,2090-08-08,2090,8,8,291.46875,300.70312,5.9063033e-05
pop1,-66.351746,46.01555,2090-08-09,2090,8,9,290.00522,300.34897,5.081005e-05
pop1,-66.351746,46.01555,2090-08-10,2090,8,10,290.76562,301.7396,2.9041594e-05
pop1,-66.351746,46.01555,2090-08-11,2090,8,11,291.58334,301.89062,2.8636017e-05
pop1,-66.351746,46.01555,2090-08-12,2090,8,12,291.15103,302.26562,1.2089076e-05
pop1,-66.351746,46.01555,2090-08-13,2090,8,13,291.09897,301.1771,2.0826987e-05
pop1,-66.351746,46.01555,2090-08-14,2090,8,14,290.375,301.21353,5.353675e-06
pop1,-66.351746,46.01555,2090-08-15,2090,8,15,289.16666,301.92188,1.4724515e-05
pop1,-66.351746,46.01555,2090-08-16,2090,8,16,291.92188,302.26562,5.4615233e-05
pop1,-66.351746,46.01555,2090-08-17,2090,8,17,291.89584,301.06772,4.5609002e-05
pop1,-66.351746,46.01555,2090-08-18,2090,8,18,290.63022,300.5729,2.9975678e-05
pop1,-66.351746,46.01555,2090-08-19,2090,8,19,290.75522,301.5625,2.7433841e-06
pop1,-66.351746,46.01555,2090-08-20,2090,8,20,291.0,301.3125,9.437183e-06
pop1,-66.351746,46.01555,2090-08-21,2090,8,21,290.97397,301.5,3.4808283e-05
pop1,-66.351746,46.01555,2090-08-22,2090,8,22,290.98438,302.14584,3.1000953e-05
pop1,-66.351746,46.01555,2090-08-23,2090,8,23,291.35938,301.49478,4.6148052e-05
pop1,-66.351746,46.01555,2090-08-24,2090,8,24,291.28125,301.29688,1.3547993e-05
pop1,-66.351746,46.01555,2090-08-25,2090,8,25,291.10938,300.53125,1.0126278e-05
pop1,-66.351746,46.01555,2090-08-26,2090,8,26,290.85416,299.29166,6.708434e-05
pop1,-66.351746,46.01555,2090-08-27,2090,8,27,289.1979,298.86978,2.5289535e-05
pop1,-66.351746,46.01555,2090-08-28,2090,8,28,289.73438,300.21353,3.4226974e-05
pop1,-66.351746,46.01555,2090-08-29,2090,8,29,290.21875,300.41666,4.977205e-05
pop1,-66.351746,46.01555,2090-08-30,2090,8,30,290.29688,300.47916,2.9628689e-05
pop1,-66.351746,46.01555,2090-08-31,2090,8,31,289.86932,298.6875,1.0782021e-05
pop1,-66.351746,46.01555,2090-09-01,2090,9,1,289.09375,299.85416,1.7769546e-05
pop1,-66.351746,46.01555,2090-09-02,2090,9,2,289.64062,299.65625,2.203078e-05
pop1,-66.351746,46.01555,2090-09-03,2090,9,3,287.6979,298.5104,3.943598e-05
pop1,-66.351746,46.01555,2090-09-04,2090,9,4,288.6146,298.40625,2.7966787e-05
pop1,-66.351746,46.01555,2090-09-05,2090,9,5,288.08853,298.41666,5.50187e-06
pop1,-66.351746,46.01555,2090-09-06,2090,9,6,288.07812,297.79166,3.4855817e-05
pop1,-66.351746,46.01555,2090-09-07,2090,9,7,288.64062,297.39584,3.2092084e-05
pop1,-66.351746,46.01555,2090-09-08,2090,9,8,286.85416,296.93228,1.324574e-05
pop1,-66.351746,46.01555,2090-09-09,2090,9,9,287.8229,297.76562,5.2332645e-05
pop1,-66.351746,46.01555,2090-09-10,2090,9,10,287.17188,297.5625,4.759799e-05
pop1,-66.351746,46.01555,2090-09-11,2090,9,11,287.1354,297.41666,2.4133793e-05
pop1,-66.351746,46.01555,2090-09-12,2090,9,12,286.90103,297.27084,3.1438965e-05
pop1,-66.351746,46.01555,2090-09-13,2090,9,13,287.6875,297.0729,6.113499e-05
pop1,-66.351746,46.01555,2090-09-14,2090,9,14,287.56772,297.0104,4.336878e-05
pop1,-66.351746,46.01555,2090-09-15,2090,9,15,286.46875,295.7396,2.0559657e-05
pop1,-66.351746,46.01555,2090-09-16,2090,9,16,285.26562,295.7396,4.8461367e-05
pop1,-66.351746,46.01555,2090-09-17,2090,9,17,287.52603,296.25522,2.0222538e-05
pop1,-66.351746,46.01555,2090-09-18,2090,9,18,287.00522,296.02603,1.3760334e-05
pop1,-66.351746,46.01555,2090-09-19,2090,9,19,285.33334,295.31772,1.1308363e-05
pop1,-66.351746,46.01555,2090-09-20,2090,9,20,285.6146,295.80728,2.7936594e-05
pop1,-66.351746,46.01555,2090-09-21,2090,9,21,285.25522,295.02084,6.866658e-05
pop1,-66.351746,46.01555,2090-09-22,2090,9,22,284.57812,292.74478,4.6257763e-05
pop1,-66.351746,46.01555,2090-09-23,2090,9,23,282.39062,292.80728,5.134236e-05
pop1,-66.351746,46.01555,2090-09-24,2090,9,24,283.85938,293.08334,2.5237094e-05
pop1,-66.351746,46.01555,2090-09-25,2090,9,25,285.1875,294.34375,7.308424e-05
pop1,-66.351746,46.01555,2090-09-26,2090,9,26,285.56772,294.40103,2.4250288e-05
pop1,-66.351746,46.01555,2090-09-27,2090,9,27,284.89584,293.14584,7.35533e-05
pop1,-66.351746,46.01555,2090-09-28,2090,9,28,285.65103,292.85938,9.1656984e-05
pop1,-66.351746,46.01555,2090-09-29,2090,9,29,282.9479,292.3021,9.099421e-05
pop1,-66.351746,46.01555,2090-09-30,2090,9,30,280.75,290.1875,2.6018892e-05
pop1,-66.351746,46.01555,2090-10-01,2090,10,1,281.60938,291.03647,1.0040184e-05
pop1,-66.351746,46.01555,2090-10-02,2090,10,2,281.27603,290.90103,2.9656752e-05
pop1,-66.351746,46.01555,2090-10-03,2090,10,3,282.27603,292.46875,4.2504213e-05
pop1,-66.351746,46.01555,2090-10-04,2090,10,4,282.00522,291.58853,5.942129e-05
pop1,-66.351746,46.01555,2090-10-05,2090,10,5,283.61978,292.21353,6.773993e-05
pop1,-66.351746,46.01555,2090-10-06,2090,10,6,282.41666,291.23438,9.017529e-05
pop1,-66.351746,46.01555,2090-10-07,2090,10,7,281.66147,290.66147,2.7736298e-05
pop1,-66.351746,46.01555,2090-10-08,2090,10,8,281.61978,291.20312,0.00013567122
pop1,-66.351746,46.01555,2090-10-09,2090,10,9,280.19272,289.69272,3.0201178e-05
pop1,-66.351746,46.01555,2090-10-10,2090,10,10,279.52603,290.03125,4.643522e-06
pop1,-66.351746,46.01555,2090-10-11,2090,10,11,280.79688,289.6979,3.5361998e-06
pop1,-66.351746,46.01555,2090-10-12,2090,10,12,281.15103,289.5104,2.8027009e-05
pop1,-66.351746,46.01555,2090-10-13,2090,10,13,278.8229,289.3125,6.351452e-05
pop1,-66.351746,46.01555,2090-10-14,2090,10,14,279.14584,289.04166,4.1999616e-07
pop1,-66.351746,46.01555,2090-10-15,2090,10,15,280.71353,290.375,3.1570056e-05
pop1,-66.351746,46.01555,2090-10-16,2090,10,16,282.17188,290.82812,0.0001003619
pop1,-66.351746,46.01555,2090-10-17,2090,10,17,280.66147,289.21353,4.0001316e-05
pop1,-66.351746,46.01555,2090-10-18,2090,10,18,279.52603,289.03647,9.08132e-05
pop1,-66.351746,46.01555,2090-10-19,2090,10,19,279.09897,288.23438,2.3089815e-05
